_id,count,school,pincode,city
a.b.p.g.college baihar(),1,A.B.P.G.College baihar,,
aster public school(),1,ASTER PUBLIC SCHOOL,,
aadarsh vidya mandir(),1,Aadarsh Vidya Mandir,,
dyal singh public school(),1,DYAL SINGH PUBLIC SCHOOL,,
dayanand public school silver city nabha(),1,Dayanand public school Silver city nabha,,
g. p. s. v. m meera bagh(),1,G. P. S. V. M Meera Bagh,,
ggg sss no1 madipur(),1,GGG SSS no1 madipur,,
l.j.t english medium school(),1,L.J.T English Medium school,,
mvp sunrise school(),1,MVP sunrise school,,
madan mohan kalawati schooh(),1,Madan mohan kalawati schooh,,
prem dham sarvhitkari vidya mandir(),1,Prem Dham Sarvhitkari Vidya Mandir,,
prestige public school indore(),1,Prestige public school indore,,
rr gita bal bharti public school(),1,RR GITA BAL BHARTI PUBLIC SCHOOL,,
sbv number 1 madipur new delhi(),1,SBV number 1 Madipur New Delhi,,
sant bal yogeshwar bhartiya vidya mandir dadwara(),1,Sant Bal yogeshwar bhartiya vidya mandir dadwara,,
school(),1,School,,
shasakiy mahavidyalay narela bhopal(),1,Shasakiy mahavidyalay Narela Bhopal,,
skv b block janakpuri new delhi 110058(),1,Skv b block janakpuri new delhi 110058,,
st lawrence public sr sec school(),1,St Lawrence Public Sr Sec school,,
the vedansh international school(),1,The vedansh international School,,
armsvm(-123456),1,ARMSVM,-123456,
mukularanyam english school(-221010),4,Mukularanyam English School,-221010,
a p s(-82558586858),1,A P S,-82558586858,
general raj's school(.11000),1,General Raj's School,.11000,
kids world school(.24617),1,Kids world school,.24617,
adarsh vidhya peeth hr sec school(.45033),2,Adarsh vidhya peeth Hr sec school,.45033,
"शा,उ,मां,वि,बोरसर(.450445)",1,"शा,उ,मां,वि,बोरसर",.450445,
school(.69133),1,School,.69133,
g.r.n.s.b.m.v balkeshwar agra(00),1,G.R.N.S.B.M.V Balkeshwar Agra,00,Not-Applicable
g.r.n.s.b.v.m(0000),1,G.R.N.S.B.V.M,0000,Not-Applicable
.g.a.r.n.s.b.v. mandir(000000),1,.G.A.R.N.S.B.V. Mandir,000000,Not-Applicable
"0sdav public school,kaithal(000000)",1,"0sdav Public School,Kaithal",000000,Not-Applicable
9315888675(000000),1,9315888675,000000,Not-Applicable
a 2 paschim vihar(000000),2,A 2 paschim vihar,000000,Not-Applicable
a b p school(000000),1,A B P school,000000,Not-Applicable
a r b mahila mahavidyalaya solapur(000000),1,A R B mahila Mahavidyalaya Solapur,000000,Not-Applicable
a r m s vidhya mandir inter college(000000),1,A R M S vidhya mandir inter College,000000,Not-Applicable
a r burla mahila mahavidylaya(000000),1,A R burla mahila mahavidylaya,000000,Not-Applicable
a r.burla mahila varishtha mahavidya(000000),1,A R.burla mahila varishtha mahavidya,000000,Not-Applicable
a. r burla varishtha mahaviddyalya(000000),1,A. R burla varishtha mahaviddyalya,000000,Not-Applicable
a. r. burla(000000),1,A. R. Burla,000000,Not-Applicable
a. r. burla mahila mahavidyalaya(000000),1,A. R. Burla Mahila Mahavidyalaya,000000,Not-Applicable
a. r. burla mahila varishta mahavidyalay(000000),1,A. R. Burla mahila varishta mahavidyalay,000000,Not-Applicable
a.b.b.sr school(000000),1,A.B.B.SR SCHOOL,000000,Not-Applicable
a.b.p.s(000000),1,A.B.P.S,000000,Not-Applicable
"a.e.s school , janak puri(000000)",1,"A.E.S School , janak puri",000000,Not-Applicable
a.r burla college(000000),1,A.R Burla college,000000,
"a.r. burla mahila mahavidyalaya, solapur(000000)",1,"A.R. Burla Mahila Mahavidyalaya, Solapur",000000,Not-Applicable
a.r.burla mahila varishtha mahavidyalaya(000000),2,A.R.BURLA MAHILA VARISHTHA MAHAVIDYALAYA,000000,Not-Applicable
a.r.burla varishtha mahavidyalaya(000000),1,A.R.Burla Varishtha mahavidyalaya,000000,Not-Applicable
a.r.m.m.i.c jalalabad(000000),1,A.R.M.M.I.C Jalalabad,000000,Not-Applicable
a.r.m.s.v.m inter college(000000),1,A.R.M.S.V.M Inter College,000000,Not-Applicable
a.r.burla mahila varishtha mahavidya(000000),1,A.r.burla mahila varishtha mahavidya,000000,Not-Applicable
abb sr school(000000),1,ABB Sr School,000000,Not-Applicable
abc(000000),1,ABC,000000,Not-Applicable
abc cbse school(000000),1,ABC CBSE school,000000,Not-Applicable
aps akhnoor(000000),1,APS Akhnoor,000000,Not-Applicable
aps shankar vihar(000000),2,APS Shankar Vihar,000000,Not-Applicable
arm svm ic jalalabad(000000),1,ARM SVM IC JALALABAD,000000,Not-Applicable
arm svm ic jalalabad (spn)(000000),1,ARM SVM IC JALALABAD (SPN),000000,Not-Applicable
avp shool(000000),1,AVP shool,000000,
aadarsh bal vidyapeeth(000000),1,Aadarsh Bal Vidyapeeth,000000,Not-Applicable
aadarsh vidya niketan school(000000),2,Aadarsh Vidya Niketan School,000000,Not-Applicable
aadarsh vidya peeth(000000),2,Aadarsh Vidya peeth,000000,Not-Applicable
aadarsh vidyapeeth her.sec.school(000000),1,Aadarsh Vidyapeeth her.sec.school,000000,Not-Applicable
aadarsh vidhya peeth(000000),1,Aadarsh vidhya peeth,000000,Not-Applicable
aadarsh vidyapeeth h.s. school(000000),2,Aadarsh vidyapeeth H.S. school,000000,Not-Applicable
aadarshvidhyapeethhighersecondary school(000000),1,AadarshVidhyaPeethHigherSecondary School,000000,Not-Applicable
aarya college(000000),1,Aarya college,000000,Not-Applicable
abhdesh pratap university rewa(000000),1,Abhdesh pratap university rewa,000000,Not-Applicable
acharya pathasala public school(000000),2,Acharya Pathasala Public School,000000,Not-Applicable
adarsh  vidhya peeth(000000),1,Adarsh  vidhya peeth,000000,Not-Applicable
adarsh vidhya peeth h s school(000000),1,Adarsh Vidhya Peeth H S school,000000,Not-Applicable
adarsh vidhya peeth h.s school(000000),1,Adarsh Vidhya Peeth H.S School,000000,Not-Applicable
adarsh vidhyapeeth(000000),1,Adarsh VidhyaPeeth,000000,Not-Applicable
adarsh vidya peeth(000000),1,Adarsh Vidya peeth,000000,
adarsh vidya peeth h.s school(000000),1,Adarsh Vidya peeth h.s school,000000,Not-Applicable
adarsh vidyapeeth(000000),4,Adarsh Vidyapeeth,000000,Not-Applicable
adarsh vidyapeeth her sec school(000000),1,Adarsh Vidyapeeth her sec school,000000,Not-Applicable
adarsh vithya peeth school(000000),3,Adarsh Vithya peeth school,000000,Not-Applicable
adarsh vidhaya peeth h.s school(000000),1,Adarsh vidhaya peeth h.s school,000000,Not-Applicable
