Prant,Kshetra
Keral, Dakshin kshetra
South Tamilnadu, Dakshin kshetra
North Tamilnadu, Dakshin kshetra
South Karnataka,Dakshin Madhya kshetra
North Karnataka,Dakshin Madhya kshetra
Telangana,Dakshin Madhya kshetra
Andhra Pradesh,Dakshin Madhya kshetra
Kokan, pashchim kshetra
West Maharashtra, pashchim kshetra
Devgiri, pashchim kshetra
Gujrath, pashchim kshetra
Saurashtra, pashchim kshetra
Vidarbh, pashchim kshetra
Malawa, Madhya kshetra
Madhya Bharat, Madhya kshetra
Maha Kaushal, Madhya kshetra
Chattisgarh, Madhya kshetra
Chittodgarh, Uttar pashchim kshetra( Rajashan )
Jaipur, Uttar pashchim kshetra( Rajashan )
Jodpur, Uttar pashchim kshetra( Rajashan )
Delhi, Uttar kshetra
Haryana, Uttar kshetra
Punjab, Uttar kshetra
Jammu Kashmir, Uttar kshetra
Himachal, Uttar kshetra
Uttarakhand, pashchi Uttar pradesh kshetra
Merat, pashchi Uttar pradesh kshetra
Brij, pashchi Uttar pradesh kshetra
Kanpur, Purv Uttar paradesh kshetra
Awadh, Purv Uttar paradesh kshetra
Kashi, Purv Uttar paradesh kshetra
Gorksh, Purv Uttar paradesh kshetra
North Bihar, Bihar kshetra
South Bihar, Bihar kshetra
Jharkhand, Bihar kshetra
East Odisha, Purvi kshetra
West Odisha, Purvi kshetra
South Bangal, Purvi kshetra
North Bangal, Purvi kshetra
North Assam, Purvi kshetra
Arunachal, Assam kshetra
South Assam, Assam kshetra
Manipur, Assam kshetra
Tripura, Assam kshetra
