A R burla mahila mahavidylaya, A. R. Burla Mahila Mahavidyalaya, score:0.90625
A R.burla mahila varishtha mahavidya, A. R. Burla mahila varishta mahavidyalay, score:0.85
A R B mahila Mahavidyalaya Solapur, A.R. Burla Mahila Mahavidyalaya, Solapur, score:0.825
A R.burla mahila varishtha mahavidya, A.R.BURLA MAHILA VARISHTHA MAHAVIDYALAYA, score:0.875
A. R burla varishtha mahaviddyalya, A.R.Burla Varishtha mahavidyalaya, score:0.8823529411764706
A R.burla mahila varishtha mahavidya, A.r.burla mahila varishtha mahavidya, score:0.9722222222222222
A.B.B.SR SCHOOL, ABB Sr School, score:0.8
ARM SVM IC JALALABAD, ARM SVM IC JALALABAD (SPN), score:0.7692307692307692
Aadarsh Bal Vidyapeeth, Aadarsh Vidya peeth, score:0.7727272727272727
Aadarsh Vidyapeeth her.sec.school, Aadarsh vidyapeeth H.S. school, score:0.8484848484848485
Aadarsh vidhya peeth, Adarsh  vidhya peeth, score:0.9
Adarsh Vidhya Peeth H S school, Adarsh Vidhya Peeth H.S School, score:0.9666666666666667
Aadarsh vidhya peeth, Adarsh VidhyaPeeth, score:0.9
Aadarsh vidhya peeth, Adarsh Vidya peeth, score:0.9
Adarsh Vidhya Peeth H S school, Adarsh Vidya peeth h.s school, score:0.9333333333333333
Aadarsh vidhya peeth, Adarsh Vidyapeeth, score:0.85
Aadarsh Vidyapeeth her.sec.school, Adarsh Vidyapeeth her sec school, score:0.9090909090909091
Adarsh Vidhya Peeth H S school, Adarsh Vithya peeth school, score:0.8333333333333334
Adarsh Vidhya Peeth H S school, Adarsh vidhaya peeth h.s school, score:0.935483870967742
Adarsh Vidhya Peeth H S school, Adarsh vidhaya peeth h.s. school, score:0.90625
Adarsh Vidhya Peeth H S school, Adarsh vidhaya peeth h.s.school, score:0.9032258064516129
Aadarsh vidhya peeth, Adarsh vidhya peet, score:0.9
Aadarsh vidhya peeth, Adarsh vidhya peeth, score:0.95
Adarsh Vidhya Peeth H S school, Adarsh vidhya peeth HR.sec school, score:0.8787878787878788
Adarsh Vidhya Peeth H S school, Adarsh vidhya peeth hr sec school, score:0.9090909090909091
Adarsh Vidhya Peeth H S school, Adarsh vidhya peeth hr. Sec. School, score:0.8571428571428572
Adarsh Vidhya Peeth H S school, Adarsh vidhya peeth school, score:0.8666666666666667
Aadarsh vidhya peeth, Adarsh vidhyea peeth, score:0.9
Aadarsh vidhya peeth, Adarsh vidhypeeth, score:0.85
Aadarsh Vidya Niketan School, Adarsh vidya niketan school, score:0.9642857142857143
Akal Academy Chak Dashraj, Akal Academy Chak Desraj, score:0.92
AppaSaheb Birnale  public school, Appasaheb birnale public school, score:0.96875
AppaSaheb Birnale  public school, Appasaheb birnale public school sangli, score:0.7894736842105263
Aravinda Vidya Mandiram, Aravinda Vidyamandir, score:0.8695652173913043
Aravinda Vidya Mandiram, Aravinda vidyamandiram, score:0.9565217391304348
Army Public School Bhopal, Army Public School Meerut, score:0.76
Aps public school, Army Public School,, score:0.7894736842105263
Aps public school, Army public school, score:0.8333333333333334
Army public school Jalandhar, Army public school Jalandhar cantt, score:0.8235294117647058
Army public school Jalandhar, Army public school akhnoor, score:0.7857142857142857
Army public school Jalandhar, Army public school, Jalandhar, score:0.9655172413793104
Army public school Jalandhar, Army public school, Jalandhar cantt, score:0.8
Aps public school, Armypublic school, score:0.8235294117647058
Arwachi n bharti bhawan school, Arwachin bharti bhawan sec.school, score:0.8484848484848485
Aarya college, Arya college, score:0.9230769230769231
Arya girl sen sec school, Arya girls sen sec school, score:0.96
Arya girl sen sec school, Arya girls sen. Sec. School, score:0.8888888888888888
Aps public school, Aryan Public school, score:0.7894736842105263
Asian Christian high school, Asian chirstian high school, score:0.9259259259259259
BERI, BPRI, score:0.75
B.v.m high school, BVM HIGH SCHOOL, score:0.8823529411764706
B.v.m high school bhaderwah, BVM high school Bhaderwah, score:0.9259259259259259
Beers heba senior secondary school, Beersheba senior secondary school, score:0.9705882352941176
Beersheba Sr Sec School, Beersheba sr .sec . school, score:0.8846153846153846
Beers heba senior secondary school, Beershiba senior secondary school, score:0.9411764705882353
Ayushmati college of education, Bhabha college of education, score:0.7666666666666666
BHABHA Polytechnic Pharmacy, Bhabha polytechnic pharmacy  bhopal, score:0.7714285714285715
BHABHA Polytechnic Pharmacy, Bhabha polytechnic pharmacy bhopal, score:0.7941176470588236
Bhabha University, Bharath University, score:0.7777777777777778
Bharati college, Bharti college, score:0.9333333333333333
Bharatiya Vidya Mandir H/S, Bhartiya Vidya Mandir, score:0.8076923076923077
Bharatiya Vidya Mandir H/S Bhaderwah, Bhartiya Vidya Mandir bhadrwah, score:0.8333333333333334
Bright Scholar School, Bright scholar's School, score:0.9130434782608696
Bright Scholar School, Bright scholars'school, score:0.9090909090909091
A.R.M.S.V.M Inter College, C.L V.P S.V.M inter college, score:0.7777777777777778
A.R.M.S.V.M Inter College, C.L.V.P.S.V.M Inter college, score:0.8148148148148149
A.R.M.S.V.M Inter College, C.L.V.P.S.V.M. inter collage, score:0.75
C.R.P.F Public School, sector-16B, Dwarka,ND-75, C.R.P.F Public School,Sector-16B,Dwarka, ND-75, score:0.9361702127659575
C.B.Gupta saraswati vidyapeeth, C.b Gupta Saraswati Vidya peeth, score:0.935483870967742
C.L.V.P.S.V.M.I.C.pilibhit, C.l.v.p.s.v.m.I.c pilibhit, score:0.9615384615384616
C.L.V.P.S.V.M.inter collage, C.l.v.p.s.v.m.inter college, score:0.962962962962963
CLVP inter college, CLVPSVM Inter college, score:0.8571428571428572
C.L.V.P.S.V.M.Inter college Pilibhit, CLVPSVM inter college pilibhit, score:0.8055555555555556
CLVP inter college, CLVPSVMInter college, score:0.85
Career Planet Sr. Sec. School, Career planet public school, score:0.7586206896551724
Career Planet Sr. Sec. School, Career planet sr. sec . school, score:0.9666666666666667
Central academy senior secondary school, Central academy senior secondry school, score:0.9743589743589743
C.L.V.P.S.V.M.inter collage, Ch.U.S.S.V.M.inter college, score:0.8148148148148149
Chinmaya Vidyalaya Anna Nagar, Chinmaya vidyalaya payyannur, score:0.7586206896551724
C.L.V.P.S.V.M.Inter college Pilibhit, Clvp svm inter College Pilibhit, score:0.8055555555555556
C.L.V.P.S.V.M.Inter college Pilibhit, Clvpsvm inter colloge Pilibhit, score:0.7777777777777778
CLVPSVMIC, Clvpsvmicp, score:0.9
D. A. V. C. P. School, D. A. V. C. Public school, score:0.8
D. A. V Public school Nigahi, D.A.V Public School Nigahi, score:0.9285714285714286
D. A. V Public school Nigahi, D.A.V Public school  nigahi, score:0.8928571428571429
Arya girls senior secondary school, DAV Boys senior secondary school, score:0.7647058823529411
D.A.V CENTENARY PUBLIC SCHOOL, DAV Centenary PUBLIC SCHOOL, score:0.9310344827586207
D. A. V Public school Nigahi, DAV public school nigahi, score:0.8571428571428572
DAV school, DAVCP School, score:0.8333333333333334
D.c.d p g college dhanauri, DHANAURI P G COLLEGE DHANAURI, score:0.7586206896551724
Dashmesh Bharti Vidya Mandir High school, Dashmesh Bhartiya Vidya Mandir school, score:0.825
D.A.V CENTENARY PUBLIC SCHOOL, Dav Centnary public school, score:0.896551724137931
DAV school, Dav cp school, score:0.7692307692307692
Dayanand  public school, Dayanand Public School, score:0.9565217391304348
Delhi English academy school, Delhi English academy sr. sec. School, score:0.7567567567567568
Delhi Private School, Delhi Private School Dubai, score:0.7692307692307692
Delhi Public School, Devbhoomi public school, score:0.782608695652174
Dr. B.R Ambedkar govt. Degree college, Dr. B.R. Ambedkar govt. Degree colleage, score:0.9487179487179487
DR.RAJENDRA PRASAD KENDRIYA VIDYALAYA, Dr. Rajendra Prasad kendriya vidyalaya, score:0.9736842105263158
Dr. B.R Ambedkar govt. Degree college, Dr.B.R. Ambedkar govt. Degree college, score:0.9459459459459459
Faculty of Nursing Bhabha University, Faculty of nursing bhaba University bhoo, score:0.85
G .R .N.S.B.VIDYA MANDIR, G r n s b vidya mandir, score:0.7916666666666666
G s k v tikri kalan, G,S,K,V tikri kalan, score:0.8421052631578947
G. G. S. S. S, G. G. S. S. S., score:0.9285714285714286
G. R. N. S. B. V. M, G. R. N. S. B. V. Mandir, score:0.7916666666666666
G. R. N. S. B. V. M, G. R. N. S. V. M, score:0.8421052631578947
G. S. B. V. B- 2 yamuna vihar, G. S. B. V. No. _2 YAMUNA VIHAR, score:0.8709677419354839
G.B.S.S.Sno=2, G.B.s.s.s no-2, score:0.8571428571428572
G .G.S.S.S.No.1Madipur, G.G.S.S.S.No.1Madipur, score:0.9545454545454546
G. G. S. S. School no 1 madipur, G.G.S.S.School no 1 madipur, score:0.8709677419354839
G.G.S.S.S Shivaji Park, G.G.S.S.school shivaji park, score:0.8148148148148149
G.G.S.S.S., G.H.S.S.S, score:0.8
G.L Saraswati Bal MANDIR. SEC  School, G.L.T SARASWATI Bal MANDIR . SEC  School, score:0.925
G.L.T. Sarasvat bal mandir, G.L.T. Saraswati Bal Mandir, score:0.9259259259259259
G. R. N. S. B. V. M, G.R. N. S. B. V. M., score:0.8947368421052632
G RN saraswati balika vidhya mandir, G.R.N SARASWATI BALIKA VIDHYA MANDIR, score:0.9444444444444444
G RN saraswati balika vidhya mandir, G.R.N Saraswati Balika Vidya Mandir, score:0.9142857142857143
G.R.N.B.S.V.M, G.R.N.S.B.V.M, score:0.8461538461538461
G.R.N.B.S.V.M, G.R.N.S.B.V.M., score:0.7857142857142857
G.R.N.S .B.Mandir, G.R.N.S.B.V.Mandir, score:0.8333333333333334
G .R .N.S.B.VIDYA MANDIR, G.R.N.S.B.Vidhya Mandir, score:0.875
G .R .N.S.B.VIDYA MANDIR, G.R.N.S.B.Vidya Mandir, score:0.9166666666666666
G.R.N.B.S.V.M, G.R.N.S.S.B.V.M, score:0.8
G.R.N.S .B.Mandir, G.R.N.S.S.B.V.Mandir, score:0.8
G.R.N.B.S.V.M, G.R.N.S.V.B.M, score:0.7692307692307692
G .R .N.S.B.VIDYA MANDIR, G.R.N.S.Vidhya Mandir, score:0.7916666666666666
G.S.B.V NO.2 B-BLOCK YAMUNA VIHAR, G.S.B.V,NO.2,B-BLOCK,YAMUNA VIHAR-53, score:0.8333333333333334
G s k v tikri kalan, G.S.K.V Tikri kalan, score:0.8421052631578947
G.S.K.V amalwas, G.S.K.V.Amalwas, score:0.9333333333333333
G.G.S.S school, G.b.s.s.school, score:0.8571428571428572
G .G.S.S.S.No.1Madipur, G.g.s.s.s no-1 madipur, score:0.8181818181818181
G .G.S.S.S.No.1Madipur, G.g.s.s.s no.1 madipur, score:0.8636363636363636
G.G.S.S school, G.g.s.s.school, score:0.9285714285714286
G s k v tikri kalan, G.s.k.v. tikri kalan, score:0.8
G. H. S. Bemmanur, GH S BEMMANUR, score:0.7647058823529411
G.L.T. Sarasvat bal mandir, GLT  Saraswati  bal mandir, score:0.7692307692307692
G.L.T. Sarasvat bal mandir, GLT Saraswati  bal mandir, score:0.7692307692307692
G.L.T. Sarasvat bal mandir, GLT Saraswati Bal mandir, score:0.8076923076923077
G.L.T. Sarasvat bal mandir, GLT saraswati balmandir, score:0.7692307692307692
GLT SARASWATI BAL MANDIR NEHRU NAGAR, GLT saraswati balmandir Nehru nagar, score:0.9722222222222222
G.R.N.S.Balika Vidya mandir, GRNS balika Vidya mandir, score:0.8518518518518519
GRNSBVM, GRNSBVN, score:0.8571428571428572
G s k v tikri kalan, GSKv tikri Kala, score:0.7894736842105263
Ganeh Ram Nagar balika vidhaya mandir, Ganesh Ram Nagar Balika Vadhiya mandir, score:0.9210526315789473
