"_id","count","school","pincode","city"
"12(110044)","1","12","110044","South East"
"20(400706)","1","20","400706","Thane"
"74(452010)","1","74","452010","Indore"
"110089(110089)","1","110089","110089","North West"
"147001(147001)","1","147001","147001","Patiala"
"450201(7999494)","1","450201","7999494",""
"450221(450221)","1","450221","450221","Burhanpur"
"747473(242221)","1","747473","242221","Shahjahanpur"
"2180013(250001)","1","2180013","250001","Meerut"
"a.b.p.g.college baihar()","1","A.B.P.G.College baihar","",""
"aster public school()","1","ASTER PUBLIC SCHOOL","",""
"aadarsh vidya mandir()","16","Aadarsh Vidya Mandir","",""
"dyal singh public school()","1","DYAL SINGH PUBLIC SCHOOL","",""
"dayanand public school silver city nabha()","1","Dayanand public school Silver city nabha","",""
"g. p. s. v. m meera bagh()","2","G. P. S. V. M Meera Bagh","",""
"ggg sss no1 madipur()","1","GGG SSS no1 madipur","",""
"l.j.t english medium school()","2","L.J.T English Medium school","",""
"mvp sunrise school()","5","MVP sunrise school","",""
"madan mohan kalawati schooh()","1","Madan mohan kalawati schooh","",""
"prem dham sarvhitkari vidya mandir()","1","Prem Dham Sarvhitkari Vidya Mandir","",""
"prestige public school indore()","2","Prestige public school indore","",""
"rr gita bal bharti public school()","1","RR GITA BAL BHARTI PUBLIC SCHOOL","",""
"sbv number 1 madipur new delhi()","1","SBV number 1 Madipur New Delhi","",""
"sant bal yogeshwar bhartiya vidya mandir dadwara()","2","Sant Bal yogeshwar bhartiya vidya mandir dadwara","",""
"school()","1505","School","",""
"shasakiy mahavidyalay narela bhopal()","1","Shasakiy mahavidyalay Narela Bhopal","",""
"skv b block janakpuri new delhi 110058()","1","Skv b block janakpuri new delhi 110058","",""
"st lawrence public sr sec school()","1","St Lawrence Public Sr Sec school","",""
"the vedansh international school()","2","The vedansh international School","",""
"armsvm(-123456)","12","ARMSVM","-123456",""
"mukularanyam english school(-221010)","8","Mukularanyam English School","-221010",""
"a p s(-82558586858)","1","A P S","-82558586858",""
"general raj's school(.11000)","6","General Raj's School",".11000",""
"kids world school(.24617)","6","Kids world school",".24617",""
"adarsh vidhya peeth hr sec school(.45033)","2","Adarsh vidhya peeth Hr sec school",".45033",""
"शा,उ,मां,वि,बोरसर(.450445)","1","शा,उ,मां,वि,बोरसर",".450445",""
"g.r.n.s.b.m.v balkeshwar agra(00)","1","G.R.N.S.B.M.V Balkeshwar Agra","00","Not-Applicable"
"g.r.n.s.b.v.m(0000)","140","G.R.N.S.B.V.M","0000","Not-Applicable"
".g.a.r.n.s.b.v. mandir(000000)","1",".G.A.R.N.S.B.V. Mandir","000000","Not-Applicable"
"0sdav public school,kaithal(000000)","2","0sdav Public School,Kaithal","000000","Not-Applicable"
"9315888675(000000)","1","9315888675","000000","Not-Applicable"
"a 2 paschim vihar(000000)","2","A 2 paschim vihar","000000","Not-Applicable"
"a b p school(000000)","1","A B P school","000000","Not-Applicable"
"a r b mahila mahavidyalaya solapur(000000)","2","A R B mahila Mahavidyalaya Solapur","000000","Not-Applicable"
"a r m s vidhya mandir inter college(000000)","8","A R M S vidhya mandir inter College","000000","Not-Applicable"
"a r burla mahila mahavidylaya(000000)","2","A R burla mahila mahavidylaya","000000","Not-Applicable"
"a r.burla mahila varishtha mahavidya(000000)","5","A R.burla mahila varishtha mahavidya","000000","Not-Applicable"
"a. r burla varishtha mahaviddyalya(000000)","2","A. R burla varishtha mahaviddyalya","000000","Not-Applicable"
"a. r. burla(000000)","1","A. R. Burla","000000","Not-Applicable"
"a.b.b.sr school(000000)","2","A.B.B.SR SCHOOL","000000","Not-Applicable"
"a.b.p.s(000000)","8","A.B.P.S","000000","Not-Applicable"
"a.e.s school , janak puri(000000)","1","A.E.S School , janak puri","000000","Not-Applicable"
"a.r burla college(000000)","3","A.R Burla college","000000",""
"a.r.m.m.i.c jalalabad(000000)","1","A.R.M.M.I.C Jalalabad","000000","Not-Applicable"
"a.r.m.s.v.m inter college(000000)","6","A.R.M.S.V.M Inter College","000000","Not-Applicable"
"abc(000000)","2","ABC","000000","Not-Applicable"
"abc cbse school(000000)","6","ABC CBSE school","000000","Not-Applicable"
"aps akhnoor(000000)","44","APS Akhnoor","000000","Not-Applicable"
"aps shankar vihar(000000)","7","APS Shankar Vihar","000000","Not-Applicable"
"arm svm ic jalalabad(000000)","3","ARM SVM IC JALALABAD","000000","Not-Applicable"
"avp shool(000000)","1","AVP shool","000000",""
"aadarsh bal vidyapeeth(000000)","3","Aadarsh Bal Vidyapeeth","000000","Not-Applicable"
"aadarsh vidya niketan school(000000)","4","Aadarsh Vidya Niketan School","000000","Not-Applicable"
"aadarsh vidyapeeth her.sec.school(000000)","4","Aadarsh Vidyapeeth her.sec.school","000000","Not-Applicable"
"aadarsh vidhya peeth(000000)","32","Aadarsh vidhya peeth","000000","Not-Applicable"
"aadarshvidhyapeethhighersecondary school(000000)","1","AadarshVidhyaPeethHigherSecondary School","000000","Not-Applicable"
"aarya college(000000)","6","Aarya college","000000","Not-Applicable"
"abhdesh pratap university rewa(000000)","1","Abhdesh pratap university rewa","000000","Not-Applicable"
"acharya pathasala public school(000000)","2","Acharya Pathasala Public School","000000","Not-Applicable"
"adarsh vidhya peeth h s school(000000)","17","Adarsh Vidhya Peeth H S school","000000","Not-Applicable"
"adarsh vidiya mandir secondary school(000000)","1","Adarsh vidiya mandir secondary school","000000","Not-Applicable"
"adharshila the senior secondary school(000000)","1","Adharshila the senior secondary school","000000","Not-Applicable"
"adi sankara vidya nikethan(000000)","2","Adi sankara vidya nikethan","000000","Not-Applicable"
"aditya dive(000000)","1","Aditya Dive","000000","Not-Applicable"
"air forces school jalahalli(000000)","1","Air forces school jalahalli","000000","Not-Applicable"
"akal academy chak dashraj(000000)","4","Akal Academy Chak Dashraj","000000","Not-Applicable"
"akal academy chak desraj jalandhar(000000)","1","Akal Academy chak Desraj jalandhar","000000","Not-Applicable"
"alexander public school(000000)","1","Alexander public school","000000","Not-Applicable"
"anand vidya aashram mandir(000000)","1","Anand Vidya aashram Mandir","000000","Not-Applicable"
"anmol kumar(000000)","1","Anmol Kumar","000000","Not-Applicable"
"ansh kushwha(000000)","1","Ansh kushwha","000000","Not-Applicable"
"anushka pandey(000000)","2","Anushka Pandey","000000","Not-Applicable"
"anushka gupta(000000)","1","Anushka gupta","000000","Not-Applicable"
"appasaheb birnale  public school(000000)","8","AppaSaheb Birnale  public school","000000",""
"aps meerut(000000)","2","Aps meerut","000000","Not-Applicable"
"aps public school(000000)","62","Aps public school","000000","Not-Applicable"
"aradhya patel(000000)","1","Aradhya Patel","000000","Not-Applicable"
"aravinda vidya mandiram(000000)","108","Aravinda Vidya Mandiram","000000","Not-Applicable"
